trials_to_target, target_angle, feedback_timing, visible_bool, noise_std
1, 90.000000, 6x, 1, 0.100000
1, 112.500000, 1x, 1, 0.100000
1, 45.000000, 2x, 1, 0.100000
3, 45.000000, 1x, 0, 0.100000
9, 135.000000, 2x, 0, 0.100000
3, 67.500000, 6x, 0, 0.100000
3, 22.500000, 2x, 0, 0.100000
3, 45.000000, 6x, 0, 0.100000
10, 22.500000, 1x, 0, 0.100000
4, 90.000000, 1x, 0, 0.100000
6, 22.500000, 6x, 0, 0.100000
9, 90.000000, 2x, 0, 0.100000
3, 135.000000, 6x, 0, 0.100000
5, 112.500000, 2x, 0, 0.100000
4, 135.000000, 1x, 0, 0.100000
9, 157.500000, 1x, 0, 0.100000
3, 157.500000, 2x, 0, 0.100000
1, 112.500000, 6x, 0, 0.100000
3, 67.500000, 2x, 0, 0.100000
3, 67.500000, 1x, 0, 0.100000
3, 157.500000, 6x, 0, 0.100000
2, 45.000000, 6x, 0, 0.100000
4, 112.500000, 1x, 0, 0.100000
4, 90.000000, 2x, 0, 0.100000
8, 67.500000, 6x, 0, 0.100000
2, 135.000000, 2x, 0, 0.100000
1, 22.500000, 1x, 0, 0.100000
2, 157.500000, 2x, 0, 0.100000
9, 90.000000, 1x, 0, 0.100000
7, 157.500000, 6x, 0, 0.100000
3, 67.500000, 2x, 0, 0.100000
3, 112.500000, 6x, 0, 0.100000
3, 45.000000, 1x, 0, 0.100000
1, 67.500000, 1x, 0, 0.100000
3, 22.500000, 6x, 0, 0.100000
6, 45.000000, 2x, 0, 0.100000
5, 90.000000, 6x, 0, 0.100000
2, 22.500000, 2x, 0, 0.100000
3, 135.000000, 1x, 0, 0.100000
4, 112.500000, 2x, 0, 0.100000
3, 157.500000, 1x, 0, 0.100000
4, 135.000000, 6x, 0, 0.100000
