trials_to_target, target_angle, feedback_timing, visible_bool, noise_std
1, 67.500000, 1x, 1, 0.100000
1, 112.500000, 6x, 1, 0.100000
1, 90.000000, 2x, 1, 0.100000
5, 157.500000, 2x, 0, 0.100000
6, 22.500000, 6x, 0, 0.100000
3, 45.000000, 1x, 0, 0.100000
3, 22.500000, 1x, 0, 0.100000
8, 45.000000, 2x, 0, 0.100000
4, 135.000000, 6x, 0, 0.100000
4, 135.000000, 1x, 0, 0.100000
2, 67.500000, 6x, 0, 0.100000
4, 22.500000, 2x, 0, 0.100000
3, 45.000000, 6x, 0, 0.100000
2, 90.000000, 1x, 0, 0.100000
3, 67.500000, 2x, 0, 0.100000
3, 112.500000, 1x, 0, 0.100000
5, 135.000000, 2x, 0, 0.100000
1, 90.000000, 6x, 0, 0.100000
4, 112.500000, 2x, 0, 0.100000
4, 157.500000, 6x, 0, 0.100000
3, 157.500000, 1x, 0, 0.100000
4, 45.000000, 2x, 0, 0.100000
3, 90.000000, 1x, 0, 0.100000
11, 157.500000, 6x, 0, 0.100000
3, 135.000000, 1x, 0, 0.100000
3, 67.500000, 6x, 0, 0.100000
3, 67.500000, 2x, 0, 0.100000
3, 45.000000, 6x, 0, 0.100000
1, 112.500000, 2x, 0, 0.100000
3, 112.500000, 1x, 0, 0.100000
3, 22.500000, 1x, 0, 0.100000
3, 157.500000, 2x, 0, 0.100000
4, 22.500000, 6x, 0, 0.100000
1, 157.500000, 1x, 0, 0.100000
6, 22.500000, 2x, 0, 0.100000
3, 90.000000, 6x, 0, 0.100000
6, 135.000000, 2x, 0, 0.100000
4, 135.000000, 6x, 0, 0.100000
5, 45.000000, 1x, 0, 0.100000
3, 90.000000, 2x, 0, 0.100000
3, 112.500000, 6x, 0, 0.100000
5, 67.500000, 1x, 0, 0.100000
