trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
2, 45.000000, 6x, 1, 0.100000, delay
1, 45.000000, 6x, 1, 0.100000, hrf
2, 157.500000, 6x, 1, 0.100000, blur
6, 157.500000, 6x, 0, 0.100000, delay
8, 135.000000, 6x, 0, 0.100000, blur
5, 90.000000, 6x, 0, 0.100000, hrf
2, 157.500000, 6x, 0, 0.100000, hrf
5, 90.000000, 6x, 0, 0.100000, delay
7, 112.500000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, hrf
2, 45.000000, 6x, 0, 0.100000, blur
1, 135.000000, 6x, 0, 0.100000, delay
3, 67.500000, 6x, 0, 0.100000, delay
12, 90.000000, 6x, 0, 0.100000, blur
1, 22.500000, 6x, 0, 0.100000, hrf
6, 67.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, hrf
4, 112.500000, 6x, 0, 0.100000, delay
3, 112.500000, 6x, 0, 0.100000, hrf
6, 22.500000, 6x, 0, 0.100000, blur
1, 22.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, delay
2, 135.000000, 6x, 0, 0.100000, blur
5, 112.500000, 6x, 0, 0.100000, delay
5, 157.500000, 6x, 0, 0.100000, blur
4, 90.000000, 6x, 0, 0.100000, hrf
9, 67.500000, 6x, 0, 0.100000, blur
4, 45.000000, 6x, 0, 0.100000, delay
3, 157.500000, 6x, 0, 0.100000, hrf
5, 22.500000, 6x, 0, 0.100000, delay
4, 45.000000, 6x, 0, 0.100000, blur
2, 67.500000, 6x, 0, 0.100000, hrf
2, 112.500000, 6x, 0, 0.100000, blur
4, 45.000000, 6x, 0, 0.100000, hrf
6, 157.500000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, hrf
7, 90.000000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, hrf
1, 22.500000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, delay
6, 22.500000, 6x, 0, 0.100000, blur
5, 45.000000, 6x, 0, 0.100000, hrf
2, 112.500000, 6x, 0, 0.100000, delay
2, 135.000000, 6x, 0, 0.100000, hrf
6, 67.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, delay
6, 135.000000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, delay
2, 112.500000, 6x, 0, 0.100000, hrf
5, 22.500000, 6x, 0, 0.100000, hrf
1, 45.000000, 6x, 0, 0.100000, delay
6, 112.500000, 6x, 0, 0.100000, blur
6, 90.000000, 6x, 0, 0.100000, hrf
7, 157.500000, 6x, 0, 0.100000, delay
3, 157.500000, 6x, 0, 0.100000, blur
5, 22.500000, 6x, 0, 0.100000, delay
10, 45.000000, 6x, 0, 0.100000, blur
5, 67.500000, 6x, 0, 0.100000, hrf
4, 90.000000, 6x, 0, 0.100000, delay
3, 157.500000, 6x, 0, 0.100000, hrf
5, 90.000000, 6x, 0, 0.100000, blur
