trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
5, 67.500000, 6x, 1, 0.100000, blur
2, 157.500000, 6x, 1, 0.100000, hrf
1, 157.500000, 6x, 1, 0.100000, delay
6, 67.500000, 6x, 0, 0.100000, delay
5, 135.000000, 6x, 0, 0.100000, hrf
9, 112.500000, 6x, 0, 0.100000, blur
9, 22.500000, 6x, 0, 0.100000, hrf
2, 90.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, blur
2, 112.500000, 6x, 0, 0.100000, delay
5, 45.000000, 6x, 0, 0.100000, blur
1, 112.500000, 6x, 0, 0.100000, hrf
8, 22.500000, 6x, 0, 0.100000, delay
1, 90.000000, 6x, 0, 0.100000, hrf
12, 157.500000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, blur
1, 135.000000, 6x, 0, 0.100000, delay
5, 45.000000, 6x, 0, 0.100000, hrf
5, 22.500000, 6x, 0, 0.100000, blur
5, 67.500000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, delay
2, 45.000000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, blur
2, 22.500000, 6x, 0, 0.100000, hrf
1, 135.000000, 6x, 0, 0.100000, hrf
4, 112.500000, 6x, 0, 0.100000, blur
6, 67.500000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, delay
3, 22.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, blur
4, 90.000000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, hrf
3, 112.500000, 6x, 0, 0.100000, delay
4, 157.500000, 6x, 0, 0.100000, blur
6, 135.000000, 6x, 0, 0.100000, blur
4, 157.500000, 6x, 0, 0.100000, hrf
2, 157.500000, 6x, 0, 0.100000, delay
5, 22.500000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, hrf
3, 90.000000, 6x, 0, 0.100000, delay
3, 90.000000, 6x, 0, 0.100000, hrf
5, 67.500000, 6x, 0, 0.100000, blur
4, 135.000000, 6x, 0, 0.100000, delay
6, 112.500000, 6x, 0, 0.100000, blur
1, 90.000000, 6x, 0, 0.100000, delay
1, 45.000000, 6x, 0, 0.100000, hrf
3, 157.500000, 6x, 0, 0.100000, hrf
9, 45.000000, 6x, 0, 0.100000, blur
1, 45.000000, 6x, 0, 0.100000, delay
5, 67.500000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, blur
4, 157.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, delay
3, 90.000000, 6x, 0, 0.100000, blur
5, 112.500000, 6x, 0, 0.100000, hrf
4, 67.500000, 6x, 0, 0.100000, delay
3, 22.500000, 6x, 0, 0.100000, blur
2, 22.500000, 6x, 0, 0.100000, hrf
4, 22.500000, 6x, 0, 0.100000, delay
8, 157.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, hrf
