trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
1, 157.500000, 6x, 1, 0.100000, delay
1, 90.000000, 6x, 1, 0.100000, hrf
1, 90.000000, 6x, 1, 0.100000, blur
7, 157.500000, 6x, 0, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, hrf
7, 45.000000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, delay
6, 90.000000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, hrf
5, 67.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, delay
5, 135.000000, 6x, 0, 0.100000, hrf
8, 22.500000, 6x, 0, 0.100000, blur
4, 45.000000, 6x, 0, 0.100000, blur
6, 157.500000, 6x, 0, 0.100000, hrf
5, 45.000000, 6x, 0, 0.100000, delay
5, 22.500000, 6x, 0, 0.100000, hrf
6, 67.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, hrf
11, 67.500000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, hrf
7, 157.500000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, delay
7, 22.500000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, hrf
2, 157.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, hrf
5, 45.000000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, hrf
4, 112.500000, 6x, 0, 0.100000, blur
4, 135.000000, 6x, 0, 0.100000, blur
6, 22.500000, 6x, 0, 0.100000, hrf
3, 22.500000, 6x, 0, 0.100000, delay
6, 45.000000, 6x, 0, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, hrf
2, 90.000000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, delay
2, 157.500000, 6x, 0, 0.100000, blur
5, 45.000000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, delay
4, 157.500000, 6x, 0, 0.100000, hrf
3, 112.500000, 6x, 0, 0.100000, blur
4, 135.000000, 6x, 0, 0.100000, hrf
2, 90.000000, 6x, 0, 0.100000, delay
4, 135.000000, 6x, 0, 0.100000, blur
5, 67.500000, 6x, 0, 0.100000, delay
4, 112.500000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, hrf
3, 22.500000, 6x, 0, 0.100000, delay
8, 67.500000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, delay
7, 22.500000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, delay
4, 22.500000, 6x, 0, 0.100000, blur
