trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
1, 22.500000, 6x, 1, 0.100000, hrf
1, 135.000000, 6x, 1, 0.100000, blur
1, 157.500000, 6x, 1, 0.100000, delay
5, 67.500000, 6x, 0, 0.100000, hrf
3, 90.000000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, delay
1, 135.000000, 6x, 0, 0.100000, delay
5, 157.500000, 6x, 0, 0.100000, hrf
7, 22.500000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, delay
5, 67.500000, 6x, 0, 0.100000, blur
2, 135.000000, 6x, 0, 0.100000, hrf
3, 157.500000, 6x, 0, 0.100000, blur
2, 45.000000, 6x, 0, 0.100000, delay
2, 45.000000, 6x, 0, 0.100000, hrf
8, 112.500000, 6x, 0, 0.100000, hrf
1, 90.000000, 6x, 0, 0.100000, delay
10, 112.500000, 6x, 0, 0.100000, blur
7, 45.000000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, hrf
6, 157.500000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, hrf
2, 90.000000, 6x, 0, 0.100000, blur
6, 112.500000, 6x, 0, 0.100000, delay
2, 22.500000, 6x, 0, 0.100000, hrf
7, 112.500000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, delay
3, 112.500000, 6x, 0, 0.100000, hrf
7, 67.500000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, blur
2, 22.500000, 6x, 0, 0.100000, delay
2, 157.500000, 6x, 0, 0.100000, hrf
4, 157.500000, 6x, 0, 0.100000, delay
4, 45.000000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, hrf
4, 22.500000, 6x, 0, 0.100000, blur
3, 67.500000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, hrf
7, 22.500000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, blur
4, 45.000000, 6x, 0, 0.100000, delay
3, 67.500000, 6x, 0, 0.100000, hrf
3, 157.500000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, delay
2, 157.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, hrf
7, 45.000000, 6x, 0, 0.100000, blur
6, 112.500000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, delay
7, 135.000000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, blur
6, 157.500000, 6x, 0, 0.100000, hrf
2, 90.000000, 6x, 0, 0.100000, delay
4, 112.500000, 6x, 0, 0.100000, hrf
2, 22.500000, 6x, 0, 0.100000, delay
4, 22.500000, 6x, 0, 0.100000, blur
