trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
1, 22.500000, 6x, 1, 0.100000, hrf
1, 67.500000, 6x, 1, 0.100000, delay
1, 157.500000, 6x, 1, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, hrf
5, 135.000000, 6x, 0, 0.100000, delay
3, 135.000000, 6x, 0, 0.100000, blur
2, 135.000000, 6x, 0, 0.100000, hrf
3, 22.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, blur
7, 45.000000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, hrf
3, 90.000000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, hrf
8, 67.500000, 6x, 0, 0.100000, blur
5, 45.000000, 6x, 0, 0.100000, delay
6, 157.500000, 6x, 0, 0.100000, hrf
5, 112.500000, 6x, 0, 0.100000, delay
5, 112.500000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, hrf
7, 157.500000, 6x, 0, 0.100000, delay
4, 67.500000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, delay
6, 67.500000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, hrf
10, 22.500000, 6x, 0, 0.100000, blur
4, 157.500000, 6x, 0, 0.100000, delay
4, 90.000000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, delay
5, 157.500000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, delay
5, 22.500000, 6x, 0, 0.100000, delay
4, 22.500000, 6x, 0, 0.100000, hrf
2, 112.500000, 6x, 0, 0.100000, blur
2, 135.000000, 6x, 0, 0.100000, blur
4, 112.500000, 6x, 0, 0.100000, delay
2, 135.000000, 6x, 0, 0.100000, hrf
4, 157.500000, 6x, 0, 0.100000, hrf
1, 90.000000, 6x, 0, 0.100000, delay
2, 45.000000, 6x, 0, 0.100000, blur
6, 90.000000, 6x, 0, 0.100000, blur
5, 135.000000, 6x, 0, 0.100000, hrf
4, 90.000000, 6x, 0, 0.100000, delay
3, 90.000000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, blur
3, 135.000000, 6x, 0, 0.100000, delay
5, 67.500000, 6x, 0, 0.100000, hrf
7, 157.500000, 6x, 0, 0.100000, blur
1, 45.000000, 6x, 0, 0.100000, delay
2, 112.500000, 6x, 0, 0.100000, blur
6, 112.500000, 6x, 0, 0.100000, delay
3, 157.500000, 6x, 0, 0.100000, hrf
6, 22.500000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, hrf
4, 67.500000, 6x, 0, 0.100000, delay
3, 112.500000, 6x, 0, 0.100000, hrf
3, 157.500000, 6x, 0, 0.100000, delay
7, 45.000000, 6x, 0, 0.100000, blur
6, 22.500000, 6x, 0, 0.100000, delay
5, 67.500000, 6x, 0, 0.100000, blur
3, 45.000000, 6x, 0, 0.100000, hrf
