trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
2, 135.000000, 6x, 1, 0.100000, delay
2, 157.500000, 6x, 1, 0.100000, hrf
1, 22.500000, 6x, 1, 0.100000, blur
6, 45.000000, 6x, 0, 0.100000, hrf
4, 90.000000, 6x, 0, 0.100000, delay
6, 112.500000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, blur
5, 135.000000, 6x, 0, 0.100000, hrf
2, 45.000000, 6x, 0, 0.100000, delay
10, 45.000000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, hrf
8, 157.500000, 6x, 0, 0.100000, delay
3, 112.500000, 6x, 0, 0.100000, hrf
1, 112.500000, 6x, 0, 0.100000, delay
6, 135.000000, 6x, 0, 0.100000, blur
9, 67.500000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, hrf
1, 67.500000, 6x, 0, 0.100000, delay
6, 157.500000, 6x, 0, 0.100000, blur
3, 22.500000, 6x, 0, 0.100000, delay
3, 67.500000, 6x, 0, 0.100000, hrf
3, 157.500000, 6x, 0, 0.100000, hrf
6, 67.500000, 6x, 0, 0.100000, blur
1, 112.500000, 6x, 0, 0.100000, delay
5, 135.000000, 6x, 0, 0.100000, delay
7, 135.000000, 6x, 0, 0.100000, hrf
2, 22.500000, 6x, 0, 0.100000, blur
2, 67.500000, 6x, 0, 0.100000, hrf
3, 112.500000, 6x, 0, 0.100000, blur
8, 157.500000, 6x, 0, 0.100000, delay
1, 90.000000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, hrf
7, 22.500000, 6x, 0, 0.100000, hrf
3, 45.000000, 6x, 0, 0.100000, blur
7, 67.500000, 6x, 0, 0.100000, delay
2, 45.000000, 6x, 0, 0.100000, delay
2, 112.500000, 6x, 0, 0.100000, hrf
5, 135.000000, 6x, 0, 0.100000, blur
7, 157.500000, 6x, 0, 0.100000, blur
2, 45.000000, 6x, 0, 0.100000, hrf
6, 90.000000, 6x, 0, 0.100000, delay
2, 135.000000, 6x, 0, 0.100000, delay
6, 67.500000, 6x, 0, 0.100000, hrf
8, 112.500000, 6x, 0, 0.100000, blur
4, 67.500000, 6x, 0, 0.100000, delay
8, 45.000000, 6x, 0, 0.100000, hrf
9, 157.500000, 6x, 0, 0.100000, blur
4, 157.500000, 6x, 0, 0.100000, delay
10, 22.500000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, hrf
3, 135.000000, 6x, 0, 0.100000, hrf
6, 135.000000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, delay
2, 90.000000, 6x, 0, 0.100000, hrf
5, 67.500000, 6x, 0, 0.100000, blur
7, 22.500000, 6x, 0, 0.100000, delay
7, 112.500000, 6x, 0, 0.100000, hrf
1, 90.000000, 6x, 0, 0.100000, blur
4, 45.000000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, hrf
4, 112.500000, 6x, 0, 0.100000, delay
