trials_to_target, target_angle, feedback_timing, visible_bool, noise_std, impulse_response
6, 67.500000, 6x, 1, 0.100000, blur
1, 45.000000, 6x, 1, 0.100000, hrf
1, 135.000000, 6x, 1, 0.100000, delay
7, 157.500000, 6x, 0, 0.100000, blur
6, 22.500000, 6x, 0, 0.100000, delay
1, 157.500000, 6x, 0, 0.100000, hrf
3, 90.000000, 6x, 0, 0.100000, hrf
14, 45.000000, 6x, 0, 0.100000, blur
5, 157.500000, 6x, 0, 0.100000, delay
7, 67.500000, 6x, 0, 0.100000, hrf
11, 135.000000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, delay
2, 67.500000, 6x, 0, 0.100000, delay
3, 22.500000, 6x, 0, 0.100000, hrf
11, 22.500000, 6x, 0, 0.100000, blur
7, 45.000000, 6x, 0, 0.100000, delay
7, 90.000000, 6x, 0, 0.100000, blur
7, 112.500000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, hrf
3, 112.500000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, delay
4, 90.000000, 6x, 0, 0.100000, blur
1, 45.000000, 6x, 0, 0.100000, delay
2, 45.000000, 6x, 0, 0.100000, hrf
2, 135.000000, 6x, 0, 0.100000, hrf
12, 112.500000, 6x, 0, 0.100000, blur
2, 135.000000, 6x, 0, 0.100000, delay
7, 112.500000, 6x, 0, 0.100000, hrf
5, 157.500000, 6x, 0, 0.100000, delay
1, 22.500000, 6x, 0, 0.100000, blur
5, 135.000000, 6x, 0, 0.100000, blur
3, 112.500000, 6x, 0, 0.100000, delay
3, 157.500000, 6x, 0, 0.100000, hrf
9, 90.000000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, delay
2, 67.500000, 6x, 0, 0.100000, hrf
2, 67.500000, 6x, 0, 0.100000, delay
6, 157.500000, 6x, 0, 0.100000, blur
4, 22.500000, 6x, 0, 0.100000, hrf
10, 45.000000, 6x, 0, 0.100000, blur
3, 90.000000, 6x, 0, 0.100000, delay
4, 157.500000, 6x, 0, 0.100000, hrf
3, 112.500000, 6x, 0, 0.100000, delay
5, 135.000000, 6x, 0, 0.100000, blur
1, 135.000000, 6x, 0, 0.100000, delay
3, 45.000000, 6x, 0, 0.100000, hrf
11, 112.500000, 6x, 0, 0.100000, blur
2, 157.500000, 6x, 0, 0.100000, blur
5, 112.500000, 6x, 0, 0.100000, hrf
2, 45.000000, 6x, 0, 0.100000, delay
6, 90.000000, 6x, 0, 0.100000, blur
4, 135.000000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, delay
6, 22.500000, 6x, 0, 0.100000, hrf
2, 45.000000, 6x, 0, 0.100000, blur
2, 90.000000, 6x, 0, 0.100000, delay
9, 22.500000, 6x, 0, 0.100000, blur
3, 157.500000, 6x, 0, 0.100000, delay
5, 90.000000, 6x, 0, 0.100000, hrf
3, 67.500000, 6x, 0, 0.100000, hrf
4, 22.500000, 6x, 0, 0.100000, delay
7, 67.500000, 6x, 0, 0.100000, blur
